code,name,risk_source,amount
159241,航空航天ETF天弘,军工,117583907
159231,通用航空ETF华宝,军工,14918912
159230,通用航空ETF华夏,军工,29769804
159227,航空航天ETF华夏,军工,331899407
159217,港股通创新药ETF工银,医药,582377796
159213,机器人ETF汇添富,科技成长,71620224
159208,航空航天ETF万家,军工,22437083
159199,石油ETF平安,周期资源,4064015
159198,港股通信息技术ETF富国,科技成长,249781326
159197,石油ETF招商,周期资源,15844910
159196,港股通信息技术ETF易方达,科技成长,641733623
159195,石油ETF华安,周期资源,18397638
159193,新能源电池ETF银华,周期资源,20898703
159192,家电ETF汇添富,消费,3472221
159189,石油ETF华夏,周期资源,17159132
159185,港股通信息技术ETF鹏华,科技成长,291911366
159183,新能源车ETF招商,周期资源,8493328
159182,家电ETF南方,消费,1438459
159181,石油ETF易方达,周期资源,15494708
159180,软件ETF银华,科技成长,9906054
159178,消费电子ETF汇添富,消费,23794760
159176,家电ETF华宝,消费,16938590
159173,农牧ETF南方,消费,8776340
159172,养殖ETF汇添富,消费,18583791
159171,工业有色ETF博时,周期资源,7156087
159168,有色ETF富国,周期资源,22874652
159167,港股通医疗ETF工银,医药,13003384
159165,养殖ETF永赢,消费,8853224
159163,有色ETF泰康,周期资源,6503850
159162,工业有色ETF鹏华,周期资源,12121413
159157,有色金属ETF天弘,周期资源,241496460
159153,消费电子ETF鹏华,消费,27423232
159148,石油ETF富国,周期资源,20355957
159145,工业软件ETF广发,科技成长,4549747
159142,科创创业人工智能ETF景顺,科技成长,86881339
159141,科创创业人工智能ETF永赢,科技成长,89567281
159140,科创创业人工智能ETF易方达,科技成长,73468921
159139,科创创业人工智能ETF华泰柏瑞,科技成长,39577697
159137,港股通医疗ETF华宝,医药,38774673
159133,化工ETF天弘,周期资源,43834291
159131,港股通信息技术ETF华宝,科技成长,2716431848
159129,化工ETF嘉实,周期资源,35637055
159108,工业软件ETF博时,科技成长,11444584
159103,金融科技ETF汇添富,金融,10134459
159035,软件ETF天弘,科技成长,11341170
159032,工业有色ETF易方达,周期资源,23305493
159029,有色ETF广发,周期资源,20238291
159027,畜牧养殖ETF大成,消费,8093456
159026,石油ETF南方,周期资源,7136042
159022,科创创业人工智能ETF富国,科技成长,30035811
159020,养殖ETF易方达,消费,5410695
159019,石油ETF华宝,周期资源,13777340
159018,石油ETF广发,周期资源,3421957
159017,石油ETF工银,周期资源,4650159
159016,证券ETF广发,金融,18255261
159012,科创创业50ETF鹏华,科技成长,27013436
