offense_top_k,final_nav,final_benchmark_nav,total_return,benchmark_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,calmar_ratio
2,992984.272591078,1.3484520511035314,-0.007015727408922045,0.3484520511035314,-0.0009743570064636442,0.08970221880048264,-0.01086212826720404,-0.23829687042989212,-0.004088836771989013
3,992984.272591078,1.3484520511035314,-0.007015727408922045,0.3484520511035314,-0.0009743570064636442,0.08970221880048264,-0.01086212826720404,-0.23829687042989212,-0.004088836771989013
4,992984.272591078,1.3484520511035314,-0.007015727408922045,0.3484520511035314,-0.0009743570064636442,0.08970221880048264,-0.01086212826720404,-0.23829687042989212,-0.004088836771989013
5,992984.272591078,1.3484520511035314,-0.007015727408922045,0.3484520511035314,-0.0009743570064636442,0.08970221880048264,-0.01086212826720404,-0.23829687042989212,-0.004088836771989013
