场景,spread倍数,avg_spread(bp),佣金,总收益,年化,波动率,Sharpe,最大回撤
理想,×0.0,0.0,万0.0,0.735904828490302,0.047241085255311566,0.18929651410863887,0.24956130585795946,-0.5634438880841419
乐观,×1.0,6.4,万2.5,0.597460919460427,0.03998173692949014,0.18916798526600298,0.21135572635754876,-0.5677351024682842
中性,×2.0,12.7,万2.5,0.5979244141148914,0.04000698756199217,0.18912718244885657,0.21153483620901922,-0.567584088682227
悲观,×3.0,19.1,万5.0,0.4833478349670013,0.03355088220055347,0.18907369388989317,0.1774487053714187,-0.568977268662401
