标签,区间收益,年化,波动率,Sharpe,最大回撤,空仓天数占比,换手次数,whipsaw_次数,交易日
纯防御,0.00938426698518846,0.009814689781126207,0.0932311978210057,-0.10924787471280312,-0.06088252592084032,0.3181818181818182,82,69,241
沪深300,-0.21082164328657327,-0.21930406777474853,0.2023264147081194,-1.1827623601197792,-0.28557114228456926,0.0,0,0,241
创业板,-0.27742549143944184,-0.2880629500160712,0.28157839253824596,-1.094057492263821,-0.3386176284083703,0.0,0,0,241
