date,nav,exposure,repo_amount,final_multiplier,circuit_breaker_triggered,drawdown_level,drawdown,n_positions,position_names,defense_active,offense_top,scaling_factor,predicted_vol,defense_count
2014-01-27,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.169037015011642,0.08554049077650816,4
2014-01-28,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.1843761008545628,0.08443263919953047,4
2014-01-29,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.1904734445614378,0.08400019375219185,4
2014-01-30,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.2087367276289875,0.08273100147801105,4
2014-02-07,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.201659590570024,0.08321824315700223,4
2014-02-10,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.1952245208966281,0.0836662888450301,4
2014-02-11,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.2026955256283403,0.08314656358911426,4
2014-02-12,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.2212149065600788,0.08188566931407695,4
2014-02-13,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.0,0.09398284464578079,4
2014-02-14,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.0,0.09687850511126103,4
2014-02-17,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.0,0.10149106457720097,4
2014-02-18,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.0,0.10268672564393658,4
2014-02-19,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.0,0.09971791424096575,4
2014-02-20,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.0,0.10176730717993947,4
2014-02-21,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.0,0.09913878657379985,4
2014-02-24,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.0,0.09697150374345379,4
2014-02-25,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.0,0.10055847786266964,4
2014-02-26,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.0,0.09879007368204966,4
2014-02-27,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.0,0.10833313677041775,4
2014-02-28,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.0,0.10955704004929502,4
2014-03-03,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.0,0.10754053534203739,4
2014-03-04,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.0,0.10819032122866935,4
2014-03-05,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.0,0.10496993301476693,4
2014-03-06,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.0,0.10226520505790364,4
2014-03-07,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.0,0.09926467457127122,4
2014-03-10,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,0.8584133384037065,0.11649399598794517,4
2014-03-11,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,,1.3804577930151225,0.07243973738710643,3
2014-03-12,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.0,0.10986989110259081,4
2014-03-13,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,0.8737944637051178,0.11444338932518955,4
2014-03-14,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,0.8781964683932201,0.11386973598625785,4
2014-03-17,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,0.8744762649473804,0.11435416146602592,4
2014-03-18,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,1.0,0.11087335416070122,4
2014-03-19,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,消费ETF,1.0,0.10756182554112977,4
2014-03-20,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,,0.8451533084259485,0.11832172814450019,4
2014-03-21,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;纳指;黄金;国债ETF,消费ETF,0.8699407246833072,0.11495036059658428,4
2014-03-24,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,消费ETF,1.3714639830416093,0.07291478393637559,3
2014-03-25,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,,1.3232698185975373,0.07557037770723482,3
2014-03-26,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,,1.3626275123902896,0.07338762727943333,3
2014-03-27,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金;国债ETF,,1.3070074615972347,0.076510657313153,2
2014-03-28,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,,1.2869950000025183,0.07770037956620214,3
2014-03-31,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,,1.3267818575416217,0.07537034021952095,3
2014-04-01,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,,1.352924773770301,0.07391393959127691,3
2014-04-02,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,,1.313789494248852,0.07611569466627084,3
2014-04-03,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,,1.354556808288835,0.07382488455860818,3
2014-04-04,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,,1.3597038155063648,0.07354542868790817,3
