date,nav,exposure,repo_amount,final_multiplier,circuit_breaker_triggered,drawdown_level,drawdown,n_positions,position_names,defense_active,offense_top,scaling_factor,predicted_vol,defense_count
2021-06-21,1000000.0,1000000.0,0.0,0.6460623065491647,False,normal,0.0,6,沪深300;创业板;纳指;黄金;消费ETF;有色ETF,沪深300;创业板;纳指;黄金,消费ETF;有色ETF,0.6460623065491647,0.1547838327453795,4
2021-06-22,1012587.4541492229,1012587.4541492229,0.0,0.6432720019822942,False,normal,0.0,6,沪深300;创业板;纳指;黄金;消费ETF;有色ETF,沪深300;创业板;纳指;黄金,消费ETF;有色ETF,0.6432720019822942,0.15545523463144983,4
2021-06-23,992927.0363534347,992927.0363534347,0.0,0.5812624459955393,False,normal,-0.01941601954006725,5,沪深300;创业板;纳指;黄金;有色ETF,沪深300;创业板;纳指;黄金,有色ETF,0.5812624459955393,0.1720393269665445,4
2021-06-24,982934.313628454,982934.313628454,0.0,0.5812403474378395,False,normal,-0.02928452293109195,5,沪深300;创业板;纳指;黄金;有色ETF,沪深300;创业板;纳指;黄金,有色ETF,0.5812403474378395,0.17204586784246678,4
2021-06-25,967624.1839488295,967624.1839488294,1.1641532182693481e-10,0.622322221500037,False,normal,-0.04440433269852388,4,沪深300;纳指;黄金;有色ETF,沪深300;纳指;黄金,有色ETF,0.622322221500037,0.1606884609695623,3
2021-06-28,973693.6020242268,973693.6020242268,0.0,0.6334195715139014,False,normal,-0.03841036343638564,4,沪深300;纳指;黄金;有色ETF,沪深300;纳指;黄金,有色ETF,0.6334195715139014,0.15787323994583163,3
2021-06-29,982945.0890276593,982945.0890276593,0.0,0.6364215214122979,False,normal,-0.029273881480656117,4,沪深300;纳指;黄金;有色ETF,沪深300;纳指;黄金,有色ETF,0.6364215214122979,0.15712856437992176,3
2021-06-30,962200.0756500866,962200.0756500866,0.0,0.49245084991022253,False,normal,-0.049761014016781235,2,纳指;黄金,纳指;黄金,,0.49245084991022253,0.20306595067960742,2
2021-07-01,965863.1745107118,965863.1745107118,0.0,0.5062966034501052,False,normal,-0.04614345106395666,2,纳指;黄金,纳指;黄金,,0.5062966034501052,0.19751268193102714,2
2021-07-02,984873.7713289112,984873.7713289111,1.1641532182693481e-10,0.731097382319774,False,normal,-0.027369174590057322,3,纳指;黄金;国债ETF,纳指;黄金;国债ETF,,0.731097382319774,0.1367806839667511,3
2021-07-05,989747.1251188637,989747.1251188635,1.1641532182693481e-10,0.7487328185153094,False,normal,-0.02255640136243812,3,纳指;黄金;国债ETF,纳指;黄金;国债ETF,,0.7487328185153094,0.13355899130786572,3
2021-07-06,989349.3109773184,989349.3109773183,1.1641532182693481e-10,0.7716687514590607,False,normal,-0.022949270284440968,3,纳指;黄金;国债ETF,纳指;黄金;国债ETF,,0.7716687514590607,0.12958928272127307,3
2021-07-07,994648.4267463391,994648.4267463391,0.0,0.7888678565845779,False,normal,-0.01771602771629859,3,纳指;黄金;国债ETF,纳指;黄金;国债ETF,,0.7888678565845779,0.12676394299160873,3
2021-07-08,997002.1105829001,997002.1105829001,0.0,0.8131022344249988,False,normal,-0.015391602475874677,4,纳指;黄金;国债ETF;有色ETF,纳指;黄金;国债ETF,有色ETF,0.8131022344249988,0.12298576460156571,3
2021-07-09,995828.4321330702,995828.4321330702,0.0,0.836268931442874,False,normal,-0.01655069095264832,4,纳指;黄金;国债ETF;有色ETF,纳指;黄金;国债ETF,有色ETF,0.836268931442874,0.11957875778962987,3
2021-07-12,999551.5214962036,999551.5214962035,1.1641532182693481e-10,0.8593783997022802,False,normal,-0.012873883238038068,4,纳指;黄金;国债ETF;有色ETF,纳指;黄金;国债ETF,有色ETF,0.8593783997022802,0.11636317602891069,3
2021-07-13,998045.1249405779,998045.1249405779,0.0,1.0,False,normal,-0.01436155380856809,4,纳指;黄金;国债ETF;有色ETF,纳指;黄金;国债ETF,有色ETF,1.0,0.11328735904694576,3
2021-07-14,1000519.7716502247,1000519.7716502247,0.0,0.7805513640300378,False,normal,-0.01191766938208564,7,沪深300;创业板;纳指;黄金;国债ETF;有色ETF;军工ETF,沪深300;创业板;纳指;黄金;国债ETF,有色ETF;军工ETF,0.7805513640300378,0.12811456696929394,5
2021-07-15,1005567.714690974,1005567.7146909741,-1.1641532182693481e-10,0.7990368376810452,False,normal,-0.006932477219112835,8,沪深300;创业板;纳指;黄金;国债ETF;有色ETF;科技ETF;军工ETF,沪深300;创业板;纳指;黄金;国债ETF,有色ETF;科技ETF;军工ETF,0.7990368376810452,0.12515067551856404,5
2021-07-16,1001850.5475994997,1001850.5475994997,0.0,0.7505034956945376,False,normal,-0.010603436281703092,7,沪深300;创业板;纳指;国债ETF;有色ETF;科技ETF;军工ETF,沪深300;创业板;纳指;国债ETF,有色ETF;科技ETF;军工ETF,0.7505034956945376,0.13324388303808915,4
2021-07-19,1003961.5599521536,1003961.5599521535,1.1641532182693481e-10,0.7487823951182568,False,normal,-0.0085186658808812,6,创业板;纳指;国债ETF;有色ETF;科技ETF;军工ETF,创业板;纳指;国债ETF,有色ETF;科技ETF;军工ETF,0.7487823951182568,0.13355014841689325,3
