配置,状态,总收益,年化,波动率,Sharpe,最大回撤,2020收益,2022收益,2020回撤,2020缩仓天数,2022回撤,2022缩仓天数
纯防御,EWMA λ=0.94,3.7615689189348833,0.1402682073968089,0.11371963338627894,1.2334563805737104,-0.13375705945825234,0.30214788713011576,0.00938426698518846,-0.10550896900000985,23,-0.06088252592084014,36
纯防御,历史协方差,3.7615689189348833,0.1402682073968089,0.11371963338627894,1.2334563805737104,-0.13375705945825234,0.30214788713011576,0.00938426698518846,-0.10550896900000985,23,-0.06088252592084014,36
纯进攻,EWMA λ=0.94,1.1892580228850753,0.0681275280032212,0.09862152360786036,0.6907977641281469,-0.18828781761264507,0.0003490105683103817,0.011769728424956494,-0.039854546734304316,34,-0.03740271917196796,8
纯进攻,历史协方差,1.7209482334741875,0.08784058440467146,0.1111006126583187,0.7906399641090941,-0.18880503230552467,0.1643034724791903,-0.12512162292289497,-0.09444632662560931,36,-0.1510354482486858,255
混合,EWMA λ=0.94,2.90639794588322,0.12143883640710307,0.11461942090761165,1.0594961608206708,-0.14440794273882487,0.27675520893778227,-0.08316217988658847,-0.09640869316991202,36,-0.10411604009771827,288
混合,历史协方差,2.9821846900150275,0.12325277655650813,0.11433731795031296,1.077975054566782,-0.1266714023491241,0.27620765885114684,-0.043885718950227304,-0.10668334334457054,36,-0.08631101520568334,286
