标签,区间收益,年化,波动率,Sharpe,最大回撤,空仓天数占比,换手次数,whipsaw_次数,交易日
纯防御,0.4152931621020992,0.220095575128058,0.39642650173099003,0.5047482301368447,-0.0914026047694313,0.3424036281179138,143,122,440
沪深300,-0.13805609284332698,-0.08156787526358344,0.5239264205531033,-0.19385904447490807,-0.3049419266681849,0.0,0,0,440
创业板,0.32252252252252256,0.17362905627976866,1.2766500907436518,0.12033763784897346,-0.35622557230597435,0.0,0,0,440
