标签,区间收益,年化,波动率,Sharpe,最大回撤,空仓天数占比,换手次数,whipsaw_次数,交易日
纯防御,1.2192180014446774,0.3218129070770739,0.1378829440943833,2.18890675028289,-0.10550896900000974,0.1553398058252427,254,167,720
沪深300,1.4252293577981647,0.3635261956156579,0.3505640909376021,0.9799240837727533,-0.43139841688654357,0.0,0,0,720
创业板,1.0753077480086892,0.29115647529711186,0.5075927293595309,0.5342008654049301,-0.6928759894459103,0.0,0,0,720
