配置,状态,总收益,年化,波动率,Sharpe,最大回撤,年化波动率,日波动率方差,2015收益,2019收益,2015参与率,2019参与率,2020参与率
纯防御,有vol target,3.7615689189348833,0.1402682073968089,0.11371963338627894,1.2334563805737104,-0.13375705945825234,0.11371963338627894,5.131807546630828e-05,0.3431651827979425,0.13254589695749464,14.06214660176457,0.3706125774983885,1.1015919013206072
纯防御,固定等权,3.7615689189348833,0.1402682073968089,0.11371963338627894,1.2334563805737104,-0.13375705945825234,0.11371963338627894,5.131807546630828e-05,0.3431651827979425,0.13254589695749464,14.06214660176457,0.3706125774983885,1.1015919013206072
纯进攻,有vol target,1.1892580228850753,0.0681275280032212,0.09862152360786036,0.6907977641281469,-0.18828781761264507,0.09862152360786036,3.859605126482444e-05,0.3577494278986675,-0.023357722071939202,14.659776556558723,-0.06531070203062145,0.0012724471422845118
纯进攻,固定等权,1.0797480775308066,0.06352711336205408,0.12060122302117442,0.5267534753847428,-0.19248003445605757,0.12060122302117442,5.771688489763116e-05,0.31446849451208325,-0.022551615399610148,12.886220086228473,-0.06305674111271899,0.0052431375840459385
混合,有vol target,2.90639794588322,0.12143883640710307,0.11461942090761165,1.0594961608206708,-0.14440794273882487,0.11461942090761165,5.213337956030255e-05,0.35025667777194713,0.13185590622061727,14.35274030692156,0.3686832892192791,1.0090134990183297
混合,固定等权,2.6796482578061864,0.11581240308814911,0.12041998339233917,0.9617374112303425,-0.1472723276698781,0.12041998339233917,5.754354127067953e-05,0.33835495372656665,0.11580919779390153,13.865034103817525,0.3238149673254873,1.0498809593088747
