机制,method,总收益,年化,波动率,Sharpe,最大回撤,2018收益,2022收益,whipsaw_count
Trend Strength（当前）,trend_strength,3.761568918934951,0.14026820739681045,0.1137196333862789,1.2334563805737244,-0.13375705945825275,-0.05754008310018832,0.009384266985187795,361
Price > MA,price_ma,2.5948813806517967,0.11362718279627004,0.11067562454658225,1.026668548397895,-0.15596346089207186,-0.07254029360924652,-0.04087286586424299,420
Dual MA,dual_ma,3.507009269593026,0.13501071947728538,0.11402653147421757,1.1840289951099014,-0.12856500456797082,-0.028175811522061833,-0.03040947060539012,26
MA Slope,ma_slope,0.9697908341891752,0.05867902444075335,0.10255106763462515,0.5721932086540371,-0.23051437971186758,6.454260990995664e-05,-0.20922166532119013,0
Breakout,breakout,1.7393117887859448,0.08845621745107768,0.12482022402146918,0.7086689528442373,-0.14937451584356867,-0.01992303491130043,-0.04609980278598924,862
