start,end,regime,mean_excess,trend_mean,volatility_mean,offense_count_mean,defense_count_mean,avg_correlation_mean
2014-07-25,2015-01-20,outperform,0.0690566422276046,0.10514159708477658,0.18219812407605024,0.8166666666666667,3.6416666666666666,
2015-03-11,2015-09-28,outperform,0.0877875090890391,0.00963521072712149,0.449646970499395,0.5755395683453237,2.7841726618705036,
2015-12-02,2016-05-23,underperform,-0.0778358840520602,-0.03604834119880064,0.3139200377275758,0.8706896551724138,3.2327586206896552,
2016-07-01,2016-11-22,outperform,0.0452749114634844,0.02719975835502179,0.13789954846883712,1.5625,3.8541666666666665,
2016-11-23,2017-05-31,outperform,0.0612815217491312,0.0017524185019160198,0.10664329670637156,2.104,2.608,
2017-06-09,2018-06-21,outperform,0.1265344214533508,0.01200693465435147,0.1398579038741959,2.3149606299212597,2.7598425196850394,
2018-06-29,2019-01-28,underperform,-0.0544148435956439,-0.03527204291798879,0.24262032520349022,1.3333333333333333,2.201388888888889,
2019-04-16,2021-11-04,underperform,-0.0944867201609151,0.013787329839274321,0.20585890575945917,3.2302737520128826,3.3011272141706924,0.35919989901020777
2021-12-14,2022-03-24,outperform,0.0493100550027919,-0.04617204291081275,0.14583433814817415,1.0746268656716418,2.253731343283582,0.2685597414382861
2022-03-30,2022-08-31,underperform,-0.0327440466429879,-0.010409073522872974,0.22169191700519686,2.6,2.4761904761904763,0.5226834838631579
2022-08-31,2023-03-06,outperform,0.0296681744149934,-0.009334686378981273,0.17175645823800298,3.2295081967213113,2.877049180327869,0.3754216350246247
2023-03-16,2023-11-27,underperform,-0.0891013967284426,-0.017899416368614023,0.13521283553214705,1.7719298245614035,2.7777777777777777,0.37073479158577055
2023-12-18,2024-02-22,outperform,0.0170437412767261,-0.046085776038493856,0.13160637725222044,0.6190476190476191,3.0476190476190474,0.5256381727659616
2024-02-29,2024-08-27,underperform,-0.0553923985295244,0.006477762441058368,0.1305980132909857,2.5365853658536586,3.6666666666666665,0.5610784577788576
2024-09-27,2026-03-24,underperform,-0.1688660459107993,0.02782455179205491,0.19051151535487343,3.4061624649859943,3.4593837535014007,0.4897785147501736
