标签,区间收益,年化,波动率,Sharpe,最大回撤,空仓天数占比,换手次数,whipsaw_次数,交易日
纯防御,0.4961529019691562,0.33877237907715263,0.4507750726081853,0.7071650551409934,-0.07588771737602791,0.1833810888252149,137,108,348
沪深300,0.7280883367839888,0.48604002750241926,0.5082204866814097,0.9170036228676623,-0.08469737342976763,0.0,0,0,348
创业板,0.6981530343007916,0.4673541429038599,0.7168746279585835,0.6240340018418189,-0.1736694677871148,0.0,0,0,348
