区间,标签,区间收益,年化,波动率,Sharpe,最大回撤,空仓天数占比,换手次数,whipsaw_次数,交易日
2016-02-01 → 2016-12-31,纯防御,0.04162041508093495,0.04715871176186215,0.08368497638800831,0.32453509499650013,-0.07588771737602791,0.22321428571428573,74,63,223
2016-02-01 → 2016-12-31,沪深300,0.15873015873015883,0.18114408718625086,0.17177269995955774,0.9381239697821058,-0.07731958762886605,0.0,0,0,223
2016-02-01 → 2016-12-31,创业板,-0.007387862796833677,-0.008344597152016298,0.2985845997446049,-0.09492986971284159,-0.1736694677871148,0.0,0,0,223
2021-07-01 → 2021-12-31,纯防御,-0.05478481348309361,-0.10819059343435511,0.09425741015938897,-1.36000547031353,-0.07518758507699093,0.112,63,45,124
2021-07-01 → 2021-12-31,沪深300,-0.04682146935668052,-0.09285501252204076,0.1573131273134118,-0.717390941553161,-0.08469737342976758,0.0,0,0,124
2021-07-01 → 2021-12-31,创业板,-0.0365269461077844,-0.07283326448906557,0.24473173750836041,-0.37932662691897184,-0.1287988422575977,0.0,0,0,124
