date,国债ETF,纳指,创业板,黄金,沪深300
2020-01-16,328113.1366184973,328113.1366184973,328113.1366184973,328113.1366184973,328113.1366184973
2020-01-17,329086.85842652177,329086.85842652177,329086.85842652177,329086.85842652177,329086.85842652177
2020-01-20,330161.5537729005,330161.5537729005,330161.5537729005,330161.5537729005,330161.5537729005
2020-01-21,328922.44442310615,328922.44442310615,328922.44442310615,328922.44442310615,328922.44442310615
2020-01-22,330079.40031555225,330079.40031555225,330079.40031555225,330079.40031555225,330079.40031555225
2020-01-23,327507.09239875735,327507.09239875735,327507.09239875735,327507.09239875735,327507.09239875735
2020-02-03,395319.17200277396,395319.1720027739,395319.17200277396,395319.17200277396,
2020-02-04,362470.37588775065,362470.37588775065,362470.37588775065,362470.37588775065,
2020-02-05,357177.62249677145,357177.62249677145,357177.62249677145,357177.62249677145,
2020-02-06,358814.5975080667,358814.5975080667,358814.5975080667,358814.5975080667,
2020-02-07,364915.94782955124,364915.94782955124,364915.94782955124,364915.94782955124,
2020-02-10,371295.2463624105,371295.2463624105,371295.2463624105,371295.2463624105,
2020-02-11,377846.44283327734,377846.44283327734,377846.44283327734,377846.44283327734,
2020-02-12,274241.53988054674,274241.53988054674,274241.53988054674,274241.53988054674,274241.53988054674
2020-02-13,278569.04830736056,278569.04830736056,278569.04830736056,278569.04830736056,278569.04830736056
2020-02-14,276364.69315723237,276364.69315723237,276364.69315723237,276364.69315723237,276364.69315723237
2020-02-17,280164.53611342347,280164.53611342347,280164.53611342347,280164.53611342347,280164.53611342347
2020-02-18,279695.95135710767,279695.95135710767,279695.95135710767,279695.95135710767,279695.95135710767
2020-02-19,373168.2550267625,373168.2550267625,373168.2550267625,373168.2550267625,
2020-02-20,284260.5415671112,284260.5415671112,284260.5415671112,284260.5415671112,284260.5415671112
2020-02-21,288593.5830029473,288593.5830029473,288593.5830029473,288593.5830029473,288593.5830029473
2020-02-24,290292.07573177427,290292.07573177427,290292.07573177427,290292.07573177427,290292.07573177427
2020-02-25,294955.9731486234,294955.9731486234,294955.9731486234,294955.9731486234,294955.9731486234
2020-02-26,285463.9435726868,285463.9435726868,285463.9435726868,285463.9435726868,285463.9435726868
2020-02-27,288225.4143789853,288225.4143789853,288225.4143789853,288225.4143789853,288225.4143789853
2020-02-28,329127.6405843467,329127.6405843467,329127.6405843467,329127.6405843467,
2020-03-02,256644.05514493797,256644.055144938,256644.055144938,256644.055144938,256644.055144938
2020-03-03,336065.6470027511,336065.6470027511,336065.6470027511,336065.6470027511,
2020-03-04,263603.9670612516,263603.9670612516,263603.9670612516,263603.9670612516,263603.9670612516
2020-03-05,267220.6952960928,267220.6952960928,267220.6952960928,267220.6952960928,267220.6952960928
2020-03-06,349392.76205360424,349392.76205360424,349392.7620536042,349392.76205360424,
2020-03-09,316790.58359474264,316790.58359474264,316790.58359474264,316790.58359474264,
2020-03-10,319120.67742309486,319120.67742309486,319120.67742309486,319120.67742309486,
2020-03-11,316955.7716940731,316955.7716940731,316955.7716940731,316955.7716940731,
2020-03-12,469517.12592906423,,469517.12592906423,469517.12592906423,
2020-03-13,454997.34663051536,,454997.34663051536,454997.34663051536,
2020-03-16,1581994.4076983903,,,,
2020-03-17,1578417.4339337794,,,,
2020-03-18,1578417.4339337794,,,,
2020-03-19,1574373.8983737845,,,,
2020-03-20,1577251.0294453192,,,,
2020-03-23,1584975.2191688993,,,,
2020-03-24,618938.1188669527,,,618938.1188669527,
2020-03-25,626771.7817137,,,626771.7817137,
2020-03-26,633783.8577769723,,,633783.8577769723,
2020-03-27,294627.4107594307,,294627.4107594307,294627.4107594307,294627.4107594307
2020-03-30,644264.4640820656,,,644264.4640820656,
2020-03-31,652720.0222817155,,,652720.0222817155,
2020-04-01,651638.521576646,,,651638.521576646,
2020-04-02,660402.2664636424,,,660402.2664636424,
2020-04-03,669829.5097820311,,,669829.5097820311,
2020-04-07,665876.1112566168,,,665876.1112566168,
2020-04-08,671005.2294889644,,,671005.2294889644,
2020-04-09,680444.7673638413,,,680444.7673638413,
2020-04-10,690245.3979049881,,,690245.3979049881,
2020-04-13,699481.023501045,,,699481.023501045,
2020-04-14,710002.2924152281,,,710002.2924152281,
2020-04-15,720124.0661137801,,,720124.0661137801,
2020-04-16,731724.5677540067,,,731724.5677540067,
2020-04-17,720624.40999302,,,720624.40999302,
2020-04-20,1615961.550614965,,,,
2020-04-21,735162.1949745464,,,735162.1949745464,
2020-04-22,745793.8532140699,,,745793.8532140699,
2020-04-23,748519.6098654934,,,748519.6098654934,
2020-04-24,453260.73780751,453260.73780751,,453260.73780751,
2020-04-27,459660.92595667625,459660.92595667625,,459660.92595667625,
2020-04-28,467112.94838300545,467112.94838300545,,467112.94838300545,
2020-04-29,474270.178004392,474270.178004392,,474270.178004392,
2020-04-30,481449.5525651135,481449.55256511347,,481449.5525651135,
2020-05-06,486828.69445886323,486828.69445886323,,486828.69445886323,
2020-05-07,348042.1336976553,348042.1336976553,348042.1336976553,348042.1336976553,
2020-05-08,498543.96985928644,498543.9698592864,,498543.96985928644,
2020-05-11,491480.04125887644,491480.0412588765,,491480.04125887644,
