date,nav,exposure,repo_amount,final_multiplier,circuit_breaker_triggered,drawdown_level,drawdown,n_positions,position_names,defense_active,offense_top,scaling_factor,predicted_vol,defense_count
2025-06-12,926562.7522637416,463281.3761318708,463281.3761318708,0.5,False,halve,-0.17130160538664593,2,纳指;国债ETF,纳指;国债ETF,,0.7192605438353115,0.1390316775431198,2
2025-06-13,921129.9513173047,460564.9756586524,460564.9756586524,0.5,False,halve,-0.17616058920783517,1,国债ETF,国债ETF,,4.0159558784828375,0.02490067197595268,1
2025-06-16,921049.3887619616,460524.6943809808,460524.6943809808,0.5,False,halve,-0.17623264267654595,1,国债ETF,国债ETF,,4.136010696045184,0.024177887183807117,1
2025-06-17,920947.6237788254,460473.8118894127,460473.8118894127,0.5,False,halve,-0.17632365915432557,1,国债ETF,国债ETF,,4.2582748831538115,0.023483688287858222,1
2025-06-18,920976.4977536303,460488.24887681514,460488.24887681514,0.5,False,halve,-0.17629783487366196,1,国债ETF,国债ETF,,4.39179851801835,0.02276971486504386,1
2025-06-19,921432.0126077617,460716.00630388083,460716.00630388083,0.5,False,halve,-0.17589043189159845,3,纳指;国债ETF;科技ETF,纳指;国债ETF,科技ETF,0.6822673798920046,0.14657010278848287,2
2025-06-20,917011.5984755273,458505.7992377636,458505.7992377636,0.5,False,halve,-0.1798439580677361,3,纳指;国债ETF;科技ETF,纳指;国债ETF,科技ETF,0.67788471779765,0.1475177082098644,2
2025-06-23,914428.72409462,0.0,914428.72409462,0.0,False,liquidate,-0.18215402702714162,2,国债ETF;科技ETF,国债ETF,科技ETF,4.707110713496668,0.021244454631855304,1
2025-06-24,914501.2978028815,0.0,914501.2978028815,0.0,False,liquidate,-0.18208911861658822,1,国债ETF,国债ETF,,4.788003110214038,0.020885533634402695,1
2025-06-25,914573.8772709611,0.0,914573.8772709611,0.0,False,liquidate,-0.18202420505457365,1,国债ETF,国债ETF,,4.929185733847542,0.020287326426619283,1
2025-06-26,914646.462499316,0.0,914646.462499316,0.0,False,liquidate,-0.18195928634068903,1,国债ETF,国债ETF,,5.058920092427934,0.01976706454598433,1
2025-06-27,914719.0534884032,0.0,914719.0534884032,0.0,False,liquidate,-0.1818943624745256,1,国债ETF,国债ETF,,5.217699781722913,0.019165533507751853,1
2025-06-30,914791.6502386801,0.0,914791.6502386801,0.0,False,liquidate,-0.18182943345567437,1,国债ETF,国债ETF,,5.378443213119851,0.01859274069419679,1
2025-07-01,914864.2527506038,0.0,914864.2527506038,0.0,False,liquidate,-0.18176449928372634,1,国债ETF,国债ETF,,5.372544099062123,0.018613155733325084,1
2025-07-02,914936.8610246317,0.0,914936.8610246317,0.0,False,liquidate,-0.1816995599582727,1,国债ETF,国债ETF,,5.4211494519436165,0.01844627249008004,1
2025-07-03,915009.4750612209,0.0,915009.4750612209,0.0,False,liquidate,-0.18163461547890428,1,国债ETF,国债ETF,,5.568853370190691,0.017957017962671868,1
2025-07-04,915082.0948608291,0.0,915082.0948608291,0.0,False,liquidate,-0.18156966584521203,1,国债ETF,国债ETF,,5.7356561667001476,0.017434796838167562,1
2025-07-07,915154.7204239133,0.0,915154.7204239133,0.0,False,liquidate,-0.18150471105678698,0,,,,1.0,0.0,0
2025-07-08,915154.7204239133,0.0,915154.7204239133,0.0,False,liquidate,-0.18150471105678698,0,,,,1.0,0.0,0
2025-07-09,915154.7204239133,0.0,915154.7204239133,0.0,False,liquidate,-0.18150471105678698,0,,,,1.0,0.0,0
2025-07-10,915154.7204239133,0.0,915154.7204239133,0.0,False,liquidate,-0.18150471105678698,0,,,,1.0,0.0,0
