窗口,总交易日,进攻跑赢天数,进攻跑输天数,跑赢占比,跑赢时均值超额,跑输时均值超额,当前窗口超额
60日,2936,1168,1700,0.3978201634877384,0.04359214912297817,-0.05613449088517633,-0.030505887658590858
120日,2876,1110,1766,0.3859527121001391,0.06738589560649025,-0.09319710614172151,-0.05661070793506717
250日,2746,917,1829,0.3339402767662054,0.1192726886199178,-0.15722408459137804,-0.3162099516150245
