配置,状态,总收益,年化,波动率,Sharpe,最大回撤,2018收益,2022收益,whipsaw_count
纯防御,有趋势过滤,3.7615689189348833,0.1402682073968089,0.11371963338627894,1.2334563805737104,-0.13375705945825234,-0.05754008310018999,0.00938426698518846,361
纯防御,无趋势过滤,0.8569370745582776,0.053438312590391446,0.1021969353682686,0.522895450806088,-0.23051437971186828,-0.06713684393820107,-0.2092216653211907,0
纯进攻,有趋势过滤,1.1892580228850753,0.0681275280032212,0.09862152360786036,0.6907977641281469,-0.18828781761264507,-0.0938226699159802,0.011769728424956494,361
纯进攻,无趋势过滤,1.2754790815578363,0.07160360198562854,0.1089123869576186,0.6574422247626606,-0.18965118731754627,-0.12701451629693095,-0.009655285508936018,0
混合,有趋势过滤,2.90639794588322,0.12143883640710307,0.11461942090761165,1.0594961608206708,-0.14440794273882487,-0.07501122155978035,-0.08316217988658847,361
混合,无趋势过滤,1.595607973295118,0.08353399394943972,0.10588855849288499,0.7888859300606369,-0.2018943201938231,-0.11104808675742683,-0.07595745408456978,0
