配置,状态,总收益,年化,波动率,Sharpe,最大回撤,2022收益,2018收益,熔断触发次数
纯防御,有熔断,3.7615689189348833,0.1402682073968089,0.11371963338627894,1.2334563805737104,-0.13375705945825234,0.00938426698518846,-0.05754008310018999,719
纯防御,无熔断,0.6213474231937233,0.04148526212326775,0.10789212187652455,0.3845068703973114,-0.27358222898919,0.019229411880297143,-0.021685238537328066,0
纯进攻,有熔断,1.1892580228850753,0.0681275280032212,0.09862152360786036,0.6907977641281469,-0.18828781761264507,0.011769728424956494,-0.0938226699159802,719
纯进攻,无熔断,-0.8351956793799105,-0.1407143775871169,0.2811001977101717,-0.500584413434673,-0.9334845555588086,0.019229411880294922,0.019310303103462934,0
混合,有熔断,2.90639794588322,0.12143883640710307,0.11461942090761165,1.0594961608206708,-0.14440794273882487,-0.08316217988658847,-0.07501122155978035,719
混合,无熔断,0.985864000230078,0.059402938330368915,0.08679985403860684,0.6843667997868715,-0.26719449186230365,0.013041514868919357,0.019310303103460935,0
