配置,原版Sharpe,修正版Sharpe,ΔSharpe,原版总收益,修正版总收益,原版回撤,修正版回撤
纯防御,1.2334563805737244,1.057068928382125,0.17638745219159935,3.761568918934951,2.8979376576182,-0.13375705945825275,-0.1390017551802798
纯进攻,0.6907977641281445,0.5434725986884151,0.1473251654397294,1.1892580228850713,1.002238556841779,-0.18828781761264507,-0.2633256892412301
混合,1.05949616082068,0.8359887695864497,0.22350739123423036,2.9063979458832603,1.8316538276908712,-0.144407942738823,-0.1747351074949139
