date,nav,exposure,repo_amount,final_multiplier,circuit_breaker_triggered,drawdown_level,drawdown,n_positions,position_names,defense_active,offense_top,scaling_factor,predicted_vol,defense_count
2014-01-27,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金;国债ETF,,1.6263328059352926,0.06148802977782319,2
2014-01-28,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,,1.0,0.0,0
2014-01-29,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板,,0.35006857867633956,0.2856583140883841,1
2014-01-30,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,,1.0,0.0,0
2014-02-07,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;黄金;国债ETF,,1.0,0.09972202663381734,3
2014-02-10,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;黄金;国债ETF,,1.0,0.09806181452332559,3
2014-02-11,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金;国债ETF,,1.7599625359972457,0.05681939129649547,2
2014-02-12,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金;国债ETF,,1.8151507079325693,0.055091844199481696,2
2014-02-13,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,国债ETF,,3.964568589118488,0.025223425387183113,1
2014-02-14,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金;国债ETF,,1.7273556150161262,0.0578919587435772,2
2014-02-17,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,创业板;黄金,,0.5647787358461337,0.17706049051259545,2
2014-02-18,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,国债ETF,,4.2593529569383275,0.023477744392397377,1
2014-02-19,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;国债ETF,,1.588805690907608,0.06294035864314838,2
2014-02-20,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,,1.0,0.0,0
2014-02-21,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指,,0.786130344144978,0.12720536835244975,1
2014-02-24,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金,,1.0,0.12008655163020367,1
2014-02-25,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金;国债ETF,,1.6726065433804551,0.05978692382602605,3
2014-02-26,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;黄金,,1.0,0.09367842702289289,2
2014-02-27,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指;国债ETF,,1.6250274719561544,0.06153742119794646,2
2014-02-28,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,纳指,,0.7505878999139022,0.13322889965515128,1
2014-03-03,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,,1.0,0.0,0
2014-03-04,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,,1.0,0.0,0
2014-03-05,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,,1.0,0.0,0
2014-03-06,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,,1.0,0.0,0
2014-03-07,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,,1.0,0.0,0
2014-03-10,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,,1.0,0.0,0
2014-03-11,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,,1.0,0.0,0
2014-03-12,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金,,0.6854293922942016,0.14589394782924303,1
2014-03-13,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金,,0.6939498274904495,0.14410263687453148,1
2014-03-14,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,,1.0,0.0,0
2014-03-17,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,黄金,,0.7154339495279036,0.13977530709297123,1
2014-03-18,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,,1.0,0.0,0
2014-03-19,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,消费ETF,1.0,0.0,0
2014-03-20,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,,1.0,0.0,0
2014-03-21,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,消费ETF,1.0,0.0,0
2014-03-24,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,消费ETF,1.0,0.0,0
2014-03-25,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,,1.0,0.0,0
2014-03-26,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,,1.0,0.0,0
2014-03-27,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,,1.0,0.0,0
2014-03-28,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,,1.0,0.0,0
2014-03-31,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,,1.0,0.0,0
2014-04-01,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,,1.0,0.0,0
2014-04-02,1000000.0,0.0,1000000.0,0.0,True,normal,0.0,0,,,,1.0,0.0,0
